Keyword,Brand,Category,Market,Priority,Type
Pokémon,Pokémon,Trading Cards,Sweden,High,Product
Pokémon cards,Pokémon,Trading Cards,Finland,High,Product
LEGO,LEGO,Construction,Sweden,High,Brand
LEGO,LEGO,Construction,Finland,High,Brand
Barbie,Mattel,Dolls,Sweden,Medium,Brand
Hot Wheels,Mattel,Vehicles,Sweden,Medium,Brand
Build-A-Bear,Build-A-Bear Workshop,Plush,Sweden,High,Brand
Build-A-Bear,Build-A-Bear Workshop,Plush,Finland,High,Brand
Fuggler,Fuggler,Collectibles,Sweden,High,Product
Fuggler,Fuggler,Collectibles,Finland,High,Product
Furby,Hasbro,Interactive Toys,Sweden,Medium,Product
Bitzee,Spin Master,Interactive Toys,Finland,Medium,Product
Squishmallows,Jazwares,Plush,Sweden,Medium,Brand
Labubu,POP MART,Collectibles,Sweden,High,Trend
Labubu,POP MART,Collectibles,Finland,High,Trend
blind box,,Collectibles,Sweden,High,Trend
blind box,,Collectibles,Finland,High,Trend
collectible toys,,Collectibles,Sweden,Medium,Trend
KPop Demon Hunters dolls,,Dolls,Sweden,High,Trend
KPop Demon Hunters dolls,,Dolls,Finland,High,Trend
MINISO,MINISO,Lifestyle,Sweden,High,Brand
MINISO,MINISO,Lifestyle,Finland,High,Brand
LOL Surprise,MGA,Dolls,Sweden,Medium,Brand
Baby Born,ZAPF,Dolls,Finland,Medium,Brand
Gabby's Dollhouse,,Preschool,Sweden,Medium,IP
Minecraft toys,,Gaming,Finland,Medium,IP
Stitch,Disney,Licensed,Sweden,High,IP
Hello Kitty,Sanrio,Licensed,Finland,High,IP
Christmas toys,,Seasonal,Sweden,Medium,Seasonal
gifts for kids,,Seasonal,Finland,Medium,Seasonal
Pokémon,Pokémon,Trading Cards,Estonia,High,Product
LEGO,LEGO,Construction,Estonia,High,Brand
Fuggler,Fuggler,Collectibles,Estonia,High,Product
Labubu,POP MART,Collectibles,Estonia,High,Trend
blind box,,Collectibles,Estonia,High,Trend
Roblox toys,Roblox,Gaming,Estonia,High,IP
Stitch,Disney,Licensed,Estonia,High,IP
Hello Kitty,Sanrio,Licensed,Estonia,High,IP
NERF,Hasbro,Outdoor Action,Estonia,Medium,Brand
Play-Doh,Hasbro,Creative Play,Estonia,Medium,Brand
Bitzee,Spin Master,Interactive Toys,Estonia,Medium,Product
Squishmallows,Jazwares,Plush,Estonia,Medium,Brand
mänguasjad,,Generic,Estonia,Medium,Generic
jõulukingid lastele,,Seasonal,Estonia,Medium,Seasonal
Pokémon,Pokémon,Trading Cards,Latvia,High,Product
LEGO,LEGO,Construction,Latvia,High,Brand
Fuggler,Fuggler,Collectibles,Latvia,High,Product
Labubu,POP MART,Collectibles,Latvia,High,Trend
blind box,,Collectibles,Latvia,High,Trend
Roblox toys,Roblox,Gaming,Latvia,High,IP
Stitch,Disney,Licensed,Latvia,High,IP
Hello Kitty,Sanrio,Licensed,Latvia,High,IP
NERF,Hasbro,Outdoor Action,Latvia,Medium,Brand
Play-Doh,Hasbro,Creative Play,Latvia,Medium,Brand
Bitzee,Spin Master,Interactive Toys,Latvia,Medium,Product
Squishmallows,Jazwares,Plush,Latvia,Medium,Brand
rotaļlietas,,Generic,Latvia,Medium,Generic
Ziemassvētku dāvanas bērniem,,Seasonal,Latvia,Medium,Seasonal
Pokémon,Pokémon,Trading Cards,Lithuania,High,Product
LEGO,LEGO,Construction,Lithuania,High,Brand
Fuggler,Fuggler,Collectibles,Lithuania,High,Product
Labubu,POP MART,Collectibles,Lithuania,High,Trend
blind box,,Collectibles,Lithuania,High,Trend
Roblox toys,Roblox,Gaming,Lithuania,High,IP
Stitch,Disney,Licensed,Lithuania,High,IP
Hello Kitty,Sanrio,Licensed,Lithuania,High,IP
NERF,Hasbro,Outdoor Action,Lithuania,Medium,Brand
Play-Doh,Hasbro,Creative Play,Lithuania,Medium,Brand
Bitzee,Spin Master,Interactive Toys,Lithuania,Medium,Product
Squishmallows,Jazwares,Plush,Lithuania,Medium,Brand
žaislai,,Generic,Lithuania,Medium,Generic
Kalėdinės dovanos vaikams,,Seasonal,Lithuania,Medium,Seasonal
NeeDoh,Schylling,Sensory Toys,Sweden,High,Brand
NeeDoh,Schylling,Sensory Toys,Finland,High,Brand
NeeDoh,Schylling,Sensory Toys,Estonia,High,Brand
NeeDoh,Schylling,Sensory Toys,Latvia,High,Brand
NeeDoh,Schylling,Sensory Toys,Lithuania,High,Brand
Spider-Man,Marvel,Licensed,Sweden,High,IP
Spider-Man,Marvel,Licensed,Finland,High,IP
Spider-Man,Marvel,Licensed,Estonia,High,IP
Spider-Man,Marvel,Licensed,Latvia,High,IP
Spider-Man,Marvel,Licensed,Lithuania,High,IP
Marvel,Marvel,Licensed,Sweden,High,IP
Marvel,Marvel,Licensed,Finland,High,IP
Marvel,Marvel,Licensed,Estonia,High,IP
Marvel,Marvel,Licensed,Latvia,High,IP
